trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.5, 'e': 0.99964745596635}",25,0,-111.16288668222,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.8645438740756395}",20,14,-4.118924452838981,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5177697997895051}",25,0,-13.734848945269308,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.04422762066183891}",30,13,25.00389225478015,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.4401430224960407}",25,0,-27.243917765928067,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.8167513032223337}",20,0,-28.006878629284802,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9933903797222716}",25,0,-289.24791848500723,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 6}",0
139,False,"{'a': 0.5, 'e': 0.926812845565509}",25,11,-61.23540708061263,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.6333192030862999}",30,12,-42.590678328891336,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.18476693191217952}",30,8,33.004446574393135,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.3090227281660707}",20,8,2.038785671739806,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.7271528468448447}",30,0,-75.46659477519124,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9672505882738824}",30,0,-97.97603208485366,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9705316516498831}",20,3,-58.097992751994646,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.7361927182273159}",20,0,-130.37446056970094,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
147,False,"{'a': 0.5, 'e': 0.32160813176404734}",30,3,-92.05665094410085,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 2}",1
148,False,"{'a': 0.5, 'e': 0.17171734183077755}",35,26,2.8578106632366347,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.6230004212937645}",25,7,-113.35663983386141,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.9217512697247493}",30,0,-205.83585158218912,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.9948252601277343}",20,0,-98.15316330191261,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.8243313311075577}",25,0,-105.51110828689696,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.45201234267200896}",20,9,-8.057222363973,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.030975031731216456}",30,0,28.376495735873497,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
